race_date,race_month,race_quarter,race_year,raceTime,circ_name,location,country,driverRef,driver_age,driver_nation,Avg_lap_time,AvgPitDurationMS,positionOrder,tot_laps,cons_name,cons_nation,Avg_stop,Accident
2019-03-31,3,1,2019,15:10:00,Bahrain International Circuit,Sakhir,Bahrain,kubica,34,Polish,102946.6,24490,16,55,Williams,British,1.5,0
2016-07-24,7,3,2016,12:00:00,Hungaroring,Budapest,Hungary,haryanto,23,Indonesian,89774.34,24254,21,68,Manor Marussia,British,1,0
2024-05-26,5,2,2024,13:00:00,Circuit de Monaco,Monte-Carlo,Monaco,alonso,42,Spanish,113150.1,2389467,11,76,Aston Martin,British,1,0
2014-05-25,5,2,2014,12:00:00,Circuit de Monaco,Monte-Carlo,Monaco,kobayashi,27,Japanese,87817.11,25268.5,13,75,Caterham,Malaysian,1.5,0
2024-03-02,3,1,2024,15:00:00,Bahrain International Circuit,Sakhir,Bahrain,sargeant,23,American,100464.3,28715,20,55,Williams,British,2,0
2024-06-23,6,2,2024,13:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,sargeant,23,American,82892.08,22453.5,20,64,Williams,British,1.5,0
2018-09-30,9,3,2018,11:10:00,Sochi Autodrom,Sochi,Russia,sainz,24,Spanish,103044.5,30021,17,51,Renault,French,1,0
2014-03-30,3,1,2014,08:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia,ericsson,23,Swedish,111805.8,27528.33,14,54,Caterham,Malaysian,2,0
2013-04-21,4,2,2013,12:00:00,Bahrain International Circuit,Sakhir,Bahrain,garde,27,Dutch,105740.7,23860.2,21,55,Caterham,Malaysian,3,0
2019-10-27,10,4,2019,19:10:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,grosjean,33,French,84939.07,24128,17,69,Haas F1 Team,American,1,0
2014-05-11,5,2,2014,12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,ericsson,23,Swedish,96106.97,24881,20,64,Caterham,Malaysian,1.5,0
2014-07-20,7,3,2014,12:00:00,Hockenheimring,Hockenheim,Germany,ericsson,23,Swedish,87543.46,22602.67,18,65,Caterham,Malaysian,2,0
2016-06-12,6,2,2016,18:00:00,Circuit Gilles Villeneuve,Montreal,Canada,grosjean,30,French,80387.59,26283,14,68,Haas F1 Team,American,2,0
2021-10-10,10,4,2021,12:00:00,Istanbul Park,Istanbul,Turkey,mazepin,22,Russian,98348.77,23829,20,56,Haas F1 Team,American,1,0
2019-04-14,4,2,2019,06:10:00,Shanghai International Circuit,Shanghai,China,kubica,34,Polish,103091.1,32627,17,54,Williams,British,1,0
2015-11-29,11,4,2015,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,alonso,34,Spanish,112409.8,26435.25,17,53,McLaren,British,2.5,0
2019-06-09,6,2,2019,18:10:00,Circuit Gilles Villeneuve,Montreal,Canada,russell,21,British,79408.7,23686,16,68,Williams,British,1,0
2015-09-06,9,3,2015,12:00:00,Autodromo Nazionale di Monza,Monza,Italy,merhi,24,Spanish,93270.14,26435,16,51,Manor Marussia,British,1,0
2022-05-22,5,2,2022,13:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,kevin_magnussen,29,Danish,91455.17,26755,17,64,Haas F1 Team,American,1.5,0
2018-05-13,5,2,2018,13:10:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,stroll,19,Canadian,89702.58,21351,11,64,Williams,British,1,0
2021-11-21,11,4,2021,14:00:00,Losail International Circuit,Al Daayen,Qatar,russell,23,British,92481.98,30563.5,17,55,Williams,British,1.5,0
2013-11-17,11,4,2013,19:00:00,Circuit of the Americas,Austin,USA,chilton,22,British,110662.7,21515,21,54,Marussia,Russian,1.5,0
2024-05-26,5,2,2024,13:00:00,Circuit de Monaco,Monte-Carlo,Monaco,zhou,24,Chinese,113826.5,1205391,16,76,Sauber,Swiss,35.5,0
2019-10-27,10,4,2019,19:10:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,kevin_magnussen,27,Danish,84209.98,23084,15,69,Haas F1 Team,American,1,0
2016-06-12,6,2,2016,18:00:00,Circuit Gilles Villeneuve,Montreal,Canada,haryanto,23,Indonesian,81468.72,27400.5,19,68,Manor Marussia,British,1.5,0
2014-06-22,6,2,2014,12:00:00,Red Bull Ring,Spielberg,Austria,ericsson,23,Swedish,77118.71,24177.5,18,69,Caterham,Malaysian,1.5,0
2021-09-05,9,3,2021,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,giovinazzi,27,Italian,77616.74,19546,14,70,Alfa Romeo,Swiss,1.5,0
2021-09-05,9,3,2021,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,vettel,34,German,77499.16,18672.5,13,70,Aston Martin,British,1.5,0
2020-08-16,8,3,2020,13:10:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,latifi,25,Canadian,86051.52,22398.5,18,64,Williams,British,1.5,0
2015-04-12,4,2,2015,06:00:00,Shanghai International Circuit,Shanghai,China,stevens,23,British,110971,24093,15,54,Manor Marussia,British,1.5,0
2015-11-01,11,4,2015,19:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,rossi,24,American,89360.8,27904.5,15,69,Manor Marussia,British,1.5,0
2017-05-14,5,2,2017,12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,alonso,35,Spanish,90263.23,22989,12,64,McLaren,British,2,0
2015-06-07,6,2,2015,18:00:00,Circuit Gilles Villeneuve,Montreal,Canada,nasr,22,Brazilian,81099.55,24795,16,68,Sauber,Swiss,1,0
2014-10-12,10,4,2014,11:00:00,Sochi Autodrom,Sochi,Russia,ericsson,24,Swedish,108154.1,30890,19,51,Caterham,Malaysian,1.5,0
2018-05-13,5,2,2018,13:10:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,leclerc,20,Monegasque,89627.39,21995,10,64,Sauber,Swiss,1,0
2021-09-05,9,3,2021,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,latifi,26,Canadian,78110.64,20646,16,70,Williams,British,1,0
2022-05-22,5,2,2022,13:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,latifi,26,Canadian,91327.05,22753.67,16,64,Williams,British,2,0
2015-11-29,11,4,2015,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,stevens,24,British,113098.2,22883.5,18,53,Manor Marussia,British,1.5,0
2014-06-22,6,2,2014,12:00:00,Red Bull Ring,Spielberg,Austria,gutierrez,22,Mexican,77122.95,35606.33,19,69,Sauber,Swiss,2,0
2018-09-30,9,3,2018,11:10:00,Sochi Autodrom,Sochi,Russia,sirotkin,23,Russian,103067.2,29912,18,51,Williams,British,1,0
2018-05-27,5,2,2018,13:10:00,Circuit de Monaco,Monte-Carlo,Monaco,stroll,19,Canadian,81677.87,29947.67,17,76,Williams,British,2,0
2018-06-10,6,2,2018,18:10:00,Circuit Gilles Villeneuve,Montreal,Canada,sirotkin,22,Russian,80886.39,23531,17,66,Williams,British,1,0
2017-09-17,9,3,2017,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,wehrlein,22,German,133765.3,34962,12,56,Sauber,Swiss,3.5,0
2014-03-16,3,1,2014,06:00:00,Albert Park Grand Prix Circuit,Melbourne,Australia,chilton,22,British,101837.6,23851,13,55,Marussia,Russian,1.5,0
2021-05-02,5,2,2021,14:00:00,Autódromo Internacional do Algarve,Portimão,Portugal,mazepin,22,Russian,89708.66,24236.5,19,64,Haas F1 Team,American,2.5,0
2019-06-09,6,2,2019,18:10:00,Circuit Gilles Villeneuve,Montreal,Canada,kevin_magnussen,26,Danish,79534.8,24381,17,68,Haas F1 Team,American,1,0
2017-10-01,10,4,2017,07:00:00,Sepang International Circuit,Kuala Lumpur,Malaysia,ericsson,27,Swedish,100098.4,24719,18,54,Sauber,Swiss,1,0
2016-07-31,7,3,2016,12:00:00,Hockenheimring,Hockenheim,Germany,haryanto,23,Indonesian,84577.57,24474,20,65,Manor Marussia,British,2,0
2017-05-14,5,2,2017,12:00:00,Circuit de Barcelona-Catalunya,Montmeló,Spain,massa,36,Brazilian,90348.86,28656.67,13,64,Williams,British,2,0
2018-10-28,10,4,2018,19:10:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,ericsson,28,Swedish,86549.2,31406,9,69,Sauber,Swiss,1,0
2021-11-07,11,4,2021,19:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,latifi,26,Canadian,86556.17,23210,17,69,Williams,British,1.5,0
2015-09-20,9,3,2015,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,stevens,24,British,123995.3,34122.5,15,59,Manor Marussia,British,1.5,0
