race_date,race_month,race_quarter,race_year,raceTime,circ_name,location,country,driverRef,driver_age,driver_nation,Avg_lap_time,AvgPitDurationMS,positionOrder,tot_laps,cons_name,cons_nation,Avg_stop,Accident
2021-11-21,11,4,2021,14:00:00,Losail International Circuit,Al Daayen,Qatar,norris,22,British,90521.18,25935.5,9,56,McLaren,British,1.5,0
2018-09-30,9,3,2018,11:10:00,Sochi Autodrom,Sochi,Russia,stroll,19,Canadian,102399.8,29266,15,52,Williams,British,1,0
2016-07-03,7,3,2016,12:00:00,Red Bull Ring,Spielberg,Austria,ericsson,25,Swedish,75505.46,20691.5,15,70,Sauber,Swiss,2.5,0
2017-11-26,11,4,2017,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,brendon_hartley,28,New Zealander,106148.5,21598,15,54,Toro Rosso,Italian,1,0
2021-03-28,3,1,2021,15:00:00,Bahrain International Circuit,Sakhir,Bahrain,vettel,33,German,100953.4,24626,15,55,Aston Martin,British,1,0
2013-11-17,11,4,2013,19:00:00,Circuit of the Americas,Austin,USA,jules_bianchi,24,French,109339.7,26205,18,55,Marussia,Russian,1,0
2013-09-08,9,3,2013,12:00:00,Autodromo Nazionale di Monza,Monza,Italy,jules_bianchi,24,French,91928.87,25541,19,52,Marussia,Russian,1,0
2024-04-07,4,2,2024,05:00:00,Suzuka Circuit,Suzuka,Japan,gasly,28,French,133050.6,544579.7,16,52,Alpine F1 Team,French,2,0
2013-10-27,10,4,2013,09:30:00,Buddh International Circuit,Uttar Pradesh,India,gutierrez,22,Mexican,93046.8,22832.67,15,59,Sauber,Swiss,2,0
2018-10-28,10,4,2018,19:10:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,bottas,29,Finnish,84592.14,22834.67,5,70,Mercedes,German,2,0
2015-06-21,6,2,2015,12:00:00,Red Bull Ring,Spielberg,Austria,perez,25,Mexican,77619.77,26689,9,70,Force India,Indian,1,0
2022-09-11,9,3,2022,13:00:00,Autodromo Nazionale di Monza,Monza,Italy,kevin_magnussen,29,Danish,92926.09,27505,16,52,Haas F1 Team,American,1.5,0
2016-07-31,7,3,2016,12:00:00,Hockenheimring,Hockenheim,Germany,gutierrez,24,Mexican,82805.98,19712.5,11,66,Haas F1 Team,American,1.5,0
