race_date,race_month,race_quarter,race_year,raceTime,circ_name,location,country,driverRef,AvgPitDurationMS,Avg_stop,positionOrder,lap_limit,diff_lap
2024-10-20,10,4,2024,19:00:00,Circuit of the Americas,Austin,USA,piastri,24953.6483460202,1.36289908008658,5,56,46
2024-12-01,12,4,2024,17:00:00,Losail International Circuit,Al Daayen,Qatar,norris,26871.4169921875,1.75,10,57,0.5
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,hulkenberg,31724.5832519531,1.6875,9,61,9
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,perez,210790.154474432,1.86363636363636,11,71,0.3
2024-07-28,7,3,2024,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,russell,23060,1.16666666666667,19,44,15.8
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,ricciardo,30586.0068359375,1.6,18,61,5.5
2024-07-28,7,3,2024,13:00:00,Circuit de Spa-Francorchamps,Spa,Belgium,zhou,23900.5,1.5,20,44,0
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,kevin_magnussen,30096,1.5,17,52,14.6666666666667
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,alonso,29513.5,1.5,10,52,2.44444444444444
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,stroll,22396,1.5,15,50,0
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,gasly,30770.5,1,17,61,0.5
2024-12-08,12,4,2024,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,sainz,22072.4444444444,1.27777777777778,2,55,3.44444444444444
2024-09-15,9,3,2024,11:00:00,Baku City Circuit,Baku,Azerbaijan,bottas,162993.306640625,1.5,16,51,0.714285714285714
2024-09-01,9,3,2024,13:00:00,Autodromo Nazionale di Monza,Monza,Italy,kevin_magnussen,28534.5625,1.25,10,53,6.625
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,zhou,25650.75,1.5,18,69,0
2024-09-22,9,3,2024,12:00:00,Marina Bay Street Circuit,Marina Bay,Singapore,leclerc,30856,1,5,61,0.5
2024-12-08,12,4,2024,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,zhou,22701.5,1.5,13,55,-2.5
2024-12-08,12,4,2024,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,gasly,22196.3333333333,1.16666666666667,7,55,0.571428571428571
2024-07-07,7,3,2024,14:00:00,Silverstone Circuit,Silverstone,UK,bottas,31077.5,1.5,16,52,2.83333333333333
2024-09-01,9,3,2024,13:00:00,Autodromo Nazionale di Monza,Monza,Italy,ricciardo,127728.5,1.125,13,53,3.9
2024-11-03,11,4,2024,17:00:00,Autódromo José Carlos Pace,São Paulo,Brazil,hulkenberg,210256.390625,2,20,71,5.25
2024-07-21,7,3,2024,13:00:00,Hungaroring,Budapest,Hungary,norris,26281.3,1.3,1,69,13
2024-08-25,8,3,2024,13:00:00,Circuit Park Zandvoort,Zandvoort,Netherlands,norris,156267.996744792,2.16666666666667,1,72,0.333333333333333
2024-09-15,9,3,2024,11:00:00,Baku City Circuit,Baku,Azerbaijan,norris,186251.953125,1.375,4,51,0
2024-10-27,10,4,2024,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,gasly,124009.083333333,1.25,10,71,0.833333333333333
2024-12-08,12,4,2024,13:00:00,Yas Marina Circuit,Abu Dhabi,UAE,norris,22246.7,1.3,1,55,-1.6
2024-09-01,9,3,2024,13:00:00,Autodromo Nazionale di Monza,Monza,Italy,perez,87112.125,1.125,8,53,0.181818181818182
2024-09-15,9,3,2024,11:00:00,Baku City Circuit,Baku,Azerbaijan,perez,171692.214285714,1.5,17,51,1.71428571428571
2024-09-15,9,3,2024,11:00:00,Baku City Circuit,Baku,Azerbaijan,tsunoda,244120.833333333,1.5,20,51,0.333333333333333
2024-10-27,10,4,2024,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,leclerc,141428,1.2,3,71,0.4
2024-11-23,11,4,2024,06:00:00,Las Vegas Strip Street Circuit,Las Vegas,United States,ocon,21763,1,17,50,0
2024-10-27,10,4,2024,20:00:00,Autódromo Hermanos Rodríguez,Mexico City,Mexico,sainz,97266.75,1.3125,1,71,7.25
2024-09-15,9,3,2024,11:00:00,Baku City Circuit,Baku,Azerbaijan,hulkenberg,129093.2890625,1.375,11,51,14
